Stop ID,Stop Abbr,Stop Name,Lon,Lat,Bus Stop Type,Route(S),Jurisdiction
105006,105006,FLAT SHOALS AVE SE @ EAST SIDE AVE,-84340210,33733852,Sign on Post,32;74,Atlanta
105016,105016,FLAT SHOALS RD SE @ LEAH LN SE,-84328669,33729303,Sign on Post,74,Atlanta
105018,105018,FLAT SHOALS RD SE @ 1909,-84325332,33727647,Sign on Post,74,Atlanta
105038,105038,GLENWOOD AVE SE @ MAYNARD TER SE,-84334886,33739963,Sign on Post,107,Atlanta
105040,105040,GLENWOOD AVE SE @ CLIFTON ST SE,-84332310,33739919,Sign on Post,107,Atlanta
105042,105042,GLENWOOD AVE SE @ WINTHROP DR SE,-84330647,33739874,Sign on Post,107,Atlanta
105044,105044,GLENWOOD AVE SE @ HOWARD ST SE,-84326400,33739680,Sign on Post,107,DeKalb
105074,105074,GLENWOOD AVE SE @ WINTHROP DR SE,-84330071,33739928,Sign on Post,107,Atlanta
105075,105075,GLENWOOD AVE SE @ CLIFTON ST SE,-84332560,33739990,Sign on Post,107,Atlanta
105076,105076,GLENWOOD AVE SE @ MAYNARD TER SE,-84334778,33740035,Sign on Post,107,Atlanta
105094,105094,FLAT SHOALS RD SE @ 1930,-84325432,33727760,Shelter,74,Atlanta
105096,105096,FLAT SHOALS RD SE @ HILLBURN DR SE,-84326887,33728766,Sign on Post,74,Atlanta
105098,105098,FLAT SHOALS RD SE @ LEAH LN SE,-84328310,33729249,Sign on Post,74,Atlanta
105107,105107,FLAT SHOALS RD SE @ HILLBURN DR SE,-84327234,33728712,Sign on Post,74,Atlanta
105118,105118,FLAT SHOALS AVE SE @ EAST SIDE AVE,-84339994,33733804,Sign on Post,32;74,Atlanta
105120,105120,FLAT SHOALS AVE SE @ VAN EPPS AVE SE,-84342005,33736749,Sign on Post,32;74,Atlanta
105122,105122,FLAT SHOALS AVE SE @ NEWTON AVE SE,-84342476,33737617,Sign on Post,32;74,Atlanta
105124,105124,BOULDERCREST DR SE @ PIPER CIR SE,-84333150,33726860,Sign on Post,32,Atlanta
105126,105126,BOULDERCREST DR SE @ STALLINGS AVE SE,-84333635,33727843,Sign on Post,32,Atlanta
105130,105130,BOULDERCREST DR SE @ FLAT SHOALS RD SE,-84336396,33730708,Simme Seat,32,Atlanta
105152,105152,FLAT SHOALS AVE SE @ NEWTON AVE SE,-84342842,33738065,Sign on Post,32;74,Atlanta
105158,105158,FLAT SHOALS AVE SE @ CAVANAUGH AVE SE,-84337211,33731236,Sign on Post,32;74,Atlanta
105160,105160,BOULDERCREST DR SE @ FLAT SHOALS RD SE,-84335724,33729950,Sign on Post,32,Atlanta
105161,105161,BOULDERCREST DR SE @ WINFIELD AVE SE,-84334180,33729020,Sign on Post,32,Atlanta
105162,105162,BOULDERCREST DR SE @ BLACK OAK DR SE,-84334500,33729110,Sign on Post,32,Atlanta
105164,105164,BOULDERCREST DR SE @ STALLINGS AVE SE,-84333918,33727795,Sign on Post,32,Atlanta
105166,105166,BOULDERCREST DR SE @ WILLOW PL SE,-84333570,33727090,Sign on Post,32,Atlanta
105172,105172,HOSEA L WILLIAMS DR @ LAKEVIEW DR NE,-84314222,33751125,Sign on Post,24,Atlanta
105174,105174,HOSEA L WILLIAMS DR NE @ ROCKYFORD RD NE,-84316101,33751144,Sign on Post,24,Atlanta
105176,105176,HOSEA L WILLIAMS DR NE @ BATES AVE NE,-84317390,33751144,Sign on Post,24,Atlanta
105178,105178,HOSEA L WILLIAMS DR NE @ BRANHAM ST NE,-84318723,33751161,Sign on Post,24,Atlanta
105180,105180,HOSEA L WILLIAMS DR NE @ NORWOOD AVE NE,-84320145,33751171,Sign on Post,24,Atlanta
105182,105182,HOSEA L WILLIAMS DR @ KIRKWOOD RD,-84321533,33751175,Shelter,24,Atlanta
105184,105184,HOSEA L WILLIAMS DR @ DOYLE ST SE,-84324722,33752720,Sign on Post,24,Atlanta
105186,105186,HOSEA L WILLIAMS DR @ WARREN ST NE,-84325806,33753239,Sign on Post,24,Atlanta
105188,105188,HOSEA L WILLIAMS DR @ ROGERS ST NE,-84329028,33753390,Shelter,24,Atlanta
105190,105190,HOSEA L WILLIAMS DR NE @ CLAY ST NE,-84330333,33753390,Sign on Post,24,Atlanta
105192,105192,HOSEA L WILLIAMS DR @ CLIFTON ST NE,-84331616,33753399,Sign on Post,24,Atlanta
105194,105194,HOSEA L WILLIAMS DR @ WYMAN ST NE,-84333007,33753408,Sign on Post,24,Atlanta
105196,105196,HOSEA L WILLIAMS DR @ WOODBINE AVE,-84334573,33753417,Sign on Post,24,Atlanta
105198,105198,HOSEA L WILLIAMS DR @ ANNISTON AVE SE,-84337573,33753443,Shelter,24,Atlanta
105200,105200,HOSEA L WILLIAMS DR SE @ MAYSON AVE,-84338497,33753443,Sign on Post,24,Atlanta
105208,105208,HOSEA L WILLIAMS DR @ HOWARD ST NE,-84323425,33751984,Sign on Post,24,Atlanta
105210,105210,MEMORIAL DR SE @ TRENTON ST SE,-84345855,33747552,Sign on Post,21,Atlanta
105212,105212,MEMORIAL DR SE @ HAAS AVE SE,-84344388,33747535,Sign on Post,21,Atlanta
105214,105214,MEMORIAL DR SE @ PATTERSON AVE SE,-84343247,33747535,Sign on Post,21,Atlanta
105216,105216,MEMORIAL DR SE @ MEMORIAL TER SE,-84342344,33747535,Sign on Post,21,Atlanta
105218,105218,MEMORIAL DR SE @ DOUGLAS ST SE,-84319886,33747313,Sign on Post,21,Atlanta
105220,105220,MEMORIAL DR SE @ 2154,-84317255,33747295,Sign on Post,21,Atlanta
105222,105222,MEMORIAL DR SE @ WATSON CIR,-84315429,33747294,Sign on Post,21,Atlanta
105226,105226,MEMORIAL DR SE @ DIXIE ST SE,-84335137,33747464,Simme Seat,21,Atlanta
105228,105228,MEMORIAL DR SE @ WILKINSON DR SE,-84328539,33747447,Simme Seat,21,DeKalb
