Stop ID,Stop Name,Location
306205,ON R D MIZE AT 2331 NORTHBOUND,"(39.075416, -94.376661)"
61,MISSION TRANSIT CENTER SOUTHBOUND LANE,"(39.023112, -94.645852)"
1750077,ON 75TH AT MADISON EASTBOUND,"(38.992668, -94.600888)"
290134,ON BARRY RD AT ROBINHOOD EASTBOUND,"(39.246321, -94.621689)"
1200179,ON 12TH AT JACKSON EASTBOUND,"(39.098138, -94.533135)"
3800042,ON N HIGHLAND AT N. 46TH ST SOUTHBOUND,"(39.175407, -94.558872)"
712501,ON PROPSECT AT 24TH TERR SB,"(39.081628, -94.552359)"
11614,ON PARALLEL PKWY BETWEEN 81ST TERR EASTBOUND,"(39.128463, -94.767036)"
403159,ON SANTA FE AT BUCHANAN WESTBOUND,"(38.883701, -94.808711)"
7100018,ON PROSPECT AT 69TH NORTHBOUND,"(39.001555, -94.556673)"
5600091,ON 103RD AT 1120 W 103RD STREET WESTBOUND,"(38.941919, -94.604143)"
1930045,ON WINNER AT ASH WESTBOUND,"(39.089896, -94.456621)"
3000034,ON LEXINGTON AT PROSPECT WESTBOUND,"(39.110903, -94.550488)"
402192,ON JOHNSON DR AT LAMAR EASTBOUND NEARSIDE,"(39.022092, -94.658812)"
282506,ON 116TH ST AT HOLLIDAY DR SOUTHBOUND,"(38.912747, -94.51245)"
5400026,ON PASEO AT 68TH NORTHBOUND,"(39.003578, -94.562152)"
10801,ON INDIANA AT 24TH TERR NB,"(39.081583, -94.542988)"
1831505,ON CRAKCERNECK AT 39TH SB,"(39.048604, -94.372899)"
1210078,ON FRONT AT CHOUTEAU EASTBOUND,"(39.130655, -94.521517)"
234175,ON NE ANTIOCH AT 5261 NE ANTIOCH SOUTHBOUND,"(39.189701, -94.547897)"
470,47TH & STATE AVE METROCENTER SOUTHBOUND LANE,"(39.113983, -94.685568)"
5100171,ON 89TH BETWEEN WARD PKWY AND STATE LINE WB,"(38.967116, -94.606432)"
3000104,ON ST JOHN AT DENVER EASTBOUND,"(39.112498, -94.521122)"
1910057,ON SPRING AT FARMER NORTHBOUND,"(39.0959, -94.419679)"
114047,ON STATE AVE  AT N  50TH ST  EASTBOUND,"(39.116482, -94.694685)"
2841502,ON S LIBERTY AT PACIFIC SB,"(39.087298, -94.417368)"
