epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,898.257,0.69221,0.5024,0.87802,0.88923,0.72676,0.79494,0.57251,0.99481,0.7586,0.98482,0.000536119,0.000536119,0.000536119
146,904.08,0.67495,0.48644,0.86336,0.90676,0.73629,0.80536,0.57841,0.97562,0.74367,0.96318,0.000534057,0.000534057,0.000534057
147,910.037,0.69691,0.49157,0.87733,0.86098,0.75976,0.79781,0.57988,0.9437,0.75579,0.94965,0.000531995,0.000531995,0.000531995
148,916.213,0.71428,0.49991,0.88806,0.89285,0.72139,0.78578,0.57627,0.99197,0.80646,0.97293,0.000529934,0.000529934,0.000529934
149,922.495,0.68005,0.47566,0.87294,0.86875,0.72185,0.78308,0.57865,0.98268,0.83918,0.97123,0.000527872,0.000527872,0.000527872
150,928.262,0.68087,0.48992,0.88777,0.8974,0.72138,0.79136,0.58213,0.98112,0.82489,0.97104,0.00052581,0.00052581,0.00052581
151,934.273,0.68438,0.49928,0.87041,0.89507,0.72796,0.80161,0.58826,0.99442,0.81205,0.97988,0.000523749,0.000523749,0.000523749
152,939.842,0.68141,0.487,0.87606,0.88734,0.73212,0.80664,0.58737,0.97334,0.76675,0.9727,0.000521687,0.000521687,0.000521687
153,945.35,0.67469,0.48174,0.87814,0.90842,0.7112,0.80393,0.59377,0.95434,0.73741,0.96654,0.000519625,0.000519625,0.000519625
154,952.365,0.66182,0.47323,0.86767,0.89197,0.76655,0.81284,0.59781,0.94661,0.74345,0.95844,0.000517564,0.000517564,0.000517564
155,958.617,0.67173,0.47953,0.86615,0.87266,0.71231,0.79376,0.58011,0.96622,0.75385,0.96817,0.000515502,0.000515502,0.000515502
156,964.812,0.69579,0.48222,0.86815,0.90167,0.69732,0.79242,0.57361,0.96453,0.77666,0.95906,0.00051344,0.00051344,0.00051344
157,970.73,0.68948,0.48276,0.87631,0.93482,0.69076,0.807,0.5824,0.98227,0.83804,0.96267,0.000511379,0.000511379,0.000511379
